title,Year,Duration,Genere,Rating,Release Date
The Treasure of the Sierra Madre ,1948,,Adventure,8.2,Drama
Raging Bull ,1980,,Biography,8.2,Drama
Judgment at Nuremberg ,1961,,Drama,8.2,War
My Neighbor Totoro ,1988,,Animation,8.2,Family
There Will Be Blood ,2007,,Drama,8.2,"25 January 2008 (USA)
"
The Secret in Their Eyes ,2009,,Drama,8.2,Mystery
"Lock, Stock and Two Smoking Barrels ",1998,,Action,8.2,Comedy
The Wolf of Wall Street ,2013,,Biography,8.2,Crime
Pan's Labyrinth ,2006,,Drama,8.2,Fantasy
The Great Escape ,1963,,Adventure,8.2,Drama
Casino ,1995,,Crime,8.2,Drama
A Beautiful Mind ,2001,,Biography,8.2,Drama
All About Eve ,1950,,Drama,8.2,"27 October 1950 (USA)
"
Howl's Moving Castle ,2004,,Animation,8.2,Adventure
Some Like It Hot ,1959,,Comedy,8.2,Music
Ran ,1985,,Action,8.2,Drama
Children of Heaven ,1997,,Drama,8.3,Family
Green Book ,2018,,Biography,8.2,Comedy
Unforgiven ,1992,,Drama,8.2,Western
Downfall ,2004,,Biography,8.2,Drama
Batman Begins ,2005,,Action,8.2,Adventure
Rashomon ,1950,,Crime,8.2,Drama
Yojimbo ,1961,,Action,8.2,Drama
Monty Python and the Holy Grail ,1975,,Adventure,8.2,Comedy
Die Hard ,1988,,Action,8.2,Thriller
To Kill a Mockingbird ,1962,,Crime,8.2,Drama
Heat ,1995,,Crime,8.2,Drama
Indiana Jones and the Last Crusade ,1989,,Action,8.2,Adventure
Double Indemnity ,1944,,Crime,8.3,Drama
The Apartment ,1960,,Comedy,8.3,Drama
Up ,2009,,Animation,8.2,Adventure
For a Few Dollars More ,1965,,Western,8.3,"10 May 1967 (USA)
"
Incendies ,2010,,Drama,8.3,Mystery
L.A. Confidential ,1997,,Crime,8.2,Drama
A Separation ,2011,,Drama,8.3,Thriller
Metropolis ,1927,,Drama,8.3,Sci-Fi
The Sting ,1973,,Comedy,8.3,Crime
